text,label
"In my opinion, the class is honestly one of the best i've come across.",positive
"In my opinion, the software update was a total waste of time and money.",negative
"Honestly, the restaurant made the whole experience miserable.",negative
The event was neither great nor terrible.,neutral
"To be fair, this app turned out better than i imagined.",positive
"In my opinion, the restaurant is honestly one of the best i've come across.",positive
"Frankly, the meeting was released on schedule as planned.",neutral
"In my opinion, this laptop was rude and unhelpful.",negative
"Frankly, the manager was released on schedule as planned.",neutral
"Overall, the new policy was about what i expected, no surprises.",neutral
"Honestly, the flight was acceptable given the price.",neutral
"The software update was smooth, fast, and reliable.",positive
"In my opinion, this game had some good points and some drawbacks.",neutral
The concert made me really happy.,positive
"Honestly, the phone is similar to what competitors offer.",neutral
"Honestly, this recipe felt cheap and poorly made.",negative
"Overall, this course impressed everyone in the room.",positive
"To be fair, the phone was neither great nor terrible.",neutral
"Overall, the hotel room is similar to what competitors offer.",neutral
"To be fair, the flight had some good points and some drawbacks.",neutral
"In my opinion, the phone turned out better than i imagined.",positive
"To be fair, the product was average compared to similar options.",neutral
"Overall, the website was way below my expectations.",negative
The software update was well worth the money.,positive
"Honestly, the presentation was released on schedule as planned.",neutral
"Overall, the service left a really bad taste, literally and figuratively.",negative
"Overall, the food was neither great nor terrible.",neutral
"To be fair, the manager was a wonderful experience overall.",positive
"Overall, the tutorial was acceptable given the price.",neutral
"Frankly, this course was a wonderful experience overall.",positive
"In my opinion, this app worked perfectly and saved me a lot of time.",positive
"Frankly, this app will probably be updated again next quarter.",neutral
"The tutorial was smooth, fast, and reliable.",positive
The manager was a total waste of time and money.,negative
"In my opinion, the flight made me really happy.",positive
"Frankly, the meeting had some good points and some drawbacks.",neutral
"In my opinion, the phone was rude and unhelpful.",negative
The tutorial was poorly organized and confusing.,negative
The customer support was absolutely fantastic.,positive
"Honestly, the manager met the basic requirements but nothing more.",neutral
"In my opinion, this movie is honestly one of the best i've come across.",positive
"Overall, this recipe covers the basics adequately.",neutral
The new policy was absolutely fantastic.,positive
The team was honestly one of the worst i've experienced.,negative
"In my opinion, the product was way below my expectations.",negative
"Honestly, the meeting was poorly organized and confusing.",negative
The event was honestly one of the worst i've experienced.,negative
The hotel room felt cheap and poorly made.,negative
The customer support was average compared to similar options.,neutral
"In my opinion, the product left a really bad taste, literally and figuratively.",negative
"In my opinion, the website is a standard option without anything unique.",neutral
"To be fair, the service was poorly organized and confusing.",negative
"Overall, this book deserves five stars, no question.",positive
"Frankly, the service was honestly one of the worst i've experienced.",negative
"Honestly, the product was smooth, fast, and reliable.",positive
"To be fair, the software update made the whole experience miserable.",negative
"To be fair, the manager was average compared to similar options.",neutral
"Frankly, the website was released on schedule as planned.",neutral
"Honestly, the product was neither great nor terrible.",neutral
This book was released on schedule as planned.,neutral
"In my opinion, the class was rude and unhelpful.",negative
"In my opinion, this laptop was acceptable given the price.",neutral
"Frankly, the service covers the basics adequately.",neutral
"In my opinion, this course left a really bad taste, literally and figuratively.",negative
"Overall, this app was acceptable given the price.",neutral
"In my opinion, the car left a really bad taste, literally and figuratively.",negative
"To be fair, the restaurant was absolutely fantastic.",positive
"Frankly, the neighborhood was overpriced for what you actually get.",negative
"Frankly, the product exceeded all my expectations.",positive
The product did not work as advertised at all.,negative
"Overall, the service impressed everyone in the room.",positive
"Overall, the class did not work as advertised at all.",negative
"To be fair, the class is fine for occasional use.",neutral
The customer support was handled with great care and professionalism.,positive
"Frankly, the service was absolutely fantastic.",positive
"Overall, this album impressed everyone in the room.",positive
"Honestly, this recipe was a total waste of time and money.",negative
The concert was thoughtfully designed and easy to use.,positive
"Overall, the presentation was way below my expectations.",negative
The presentation left me frustrated and annoyed.,negative
"Overall, the customer support is honestly one of the best i've come across.",positive
The presentation was thoughtfully designed and easy to use.,positive
The meeting was a total waste of time and money.,negative
"Frankly, this movie left me frustrated and annoyed.",negative
The presentation brought a smile to my face.,positive
"In my opinion, this game did the job, though it could be improved.",neutral
"To be fair, the software update worked perfectly and saved me a lot of time.",positive
"In my opinion, this laptop was a wonderful experience overall.",positive
The neighborhood was a complete disappointment.,negative
"Frankly, the manager is a standard option without anything unique.",neutral
"Frankly, this course exceeded all my expectations.",positive
"Frankly, this album made the whole experience miserable.",negative
The new policy was rude and unhelpful.,negative
This album was honestly one of the worst i've experienced.,negative
"Frankly, the customer support made me really happy.",positive
"Honestly, the delivery was buggy and kept crashing.",negative
"Frankly, the product was thoughtfully designed and easy to use.",positive
"This movie left a really bad taste, literally and figuratively.",negative
"Honestly, the car turned out better than i imagined.",positive
This recipe left me feeling very satisfied.,positive
"Overall, the customer support left me feeling very satisfied.",positive
"In my opinion, this book felt cheap and poorly made.",negative
"Frankly, this app met the basic requirements but nothing more.",neutral
"To be fair, the flight was buggy and kept crashing.",negative
"Frankly, the concert was handled with great care and professionalism.",positive
"In my opinion, the tutorial left a really bad taste, literally and figuratively.",negative
"In my opinion, the delivery was handled with great care and professionalism.",positive
"Overall, the restaurant was thoughtfully designed and easy to use.",positive
"Frankly, the delivery will probably be updated again next quarter.",neutral
"Frankly, this app made me really happy.",positive
"Honestly, this book left me frustrated and annoyed.",negative
"Frankly, the website was well worth the money.",positive
This album was way below my expectations.,negative
"In my opinion, the tutorial worked perfectly and saved me a lot of time.",positive
"Frankly, the manager did not work as advertised at all.",negative
"To be fair, the website was rude and unhelpful.",negative
"In my opinion, the event was a routine, unremarkable experience.",neutral
"In my opinion, the class was thoughtfully designed and easy to use.",positive
"To be fair, the restaurant was a complete disappointment.",negative
"Overall, this course left me feeling very satisfied.",positive
"To be fair, the software update was handled with great care and professionalism.",positive
"To be fair, the flight was a routine, unremarkable experience.",neutral
"In my opinion, the meeting was well worth the money.",positive
"Overall, the manager worked perfectly and saved me a lot of time.",positive
"Frankly, this recipe was buggy and kept crashing.",negative
"Honestly, the class impressed everyone in the room.",positive
"In my opinion, the food was a wonderful experience overall.",positive
"In my opinion, this game was about what i expected, no surprises.",neutral
"Overall, the phone is honestly one of the best i've come across.",positive
"Overall, the class was way below my expectations.",negative
"In my opinion, the class turned out better than i imagined.",positive
The neighborhood had some good points and some drawbacks.,neutral
The event was overpriced for what you actually get.,negative
"Overall, the customer support covers the basics adequately.",neutral
"Frankly, this app is similar to what competitors offer.",neutral
"Overall, the manager impressed everyone in the room.",positive
"To be fair, the neighborhood was released on schedule as planned.",neutral
This course was acceptable given the price.,neutral
"Frankly, the team was poorly organized and confusing.",negative
"Frankly, the new policy did not work as advertised at all.",negative
"In my opinion, the concert brought a smile to my face.",positive
The flight was overpriced for what you actually get.,negative
"Honestly, the manager was handled with great care and professionalism.",positive
"Frankly, the phone did the job, though it could be improved.",neutral
The neighborhood did not work as advertised at all.,negative
"Honestly, the neighborhood is similar to what competitors offer.",neutral
"To be fair, the tutorial brought a smile to my face.",positive
"Frankly, the software update did not work as advertised at all.",negative
"Overall, the car was a routine, unremarkable experience.",neutral
"To be fair, this recipe left a really bad taste, literally and figuratively.",negative
"To be fair, the phone was a complete disappointment.",negative
"Overall, the concert did the job, though it could be improved.",neutral
"Honestly, the manager broke down after just one use.",negative
"In my opinion, the flight was okay, nothing special.",neutral
The website had some good points and some drawbacks.,neutral
"Honestly, the event turned out better than i imagined.",positive
"Honestly, the event left a really bad taste, literally and figuratively.",negative
"Frankly, the phone was handled with great care and professionalism.",positive
"In my opinion, the delivery was a complete disappointment.",negative
"Honestly, the event was delayed with zero communication.",negative
"In my opinion, the new policy was a total waste of time and money.",negative
"Frankly, the product impressed everyone in the room.",positive
"In my opinion, the team met the basic requirements but nothing more.",neutral
"Honestly, the team made the whole experience miserable.",negative
"Honestly, the car covers the basics adequately.",neutral
The new policy was average compared to similar options.,neutral
"To be fair, the neighborhood exceeded all my expectations.",positive
"To be fair, this app did the job, though it could be improved.",neutral
"Overall, the restaurant is fine for occasional use.",neutral
The delivery was poorly organized and confusing.,negative
"To be fair, the flight is similar to what competitors offer.",neutral
The hotel room brought a smile to my face.,positive
The manager left me frustrated and annoyed.,negative
"In my opinion, the concert was delayed with zero communication.",negative
"To be fair, the presentation covers the basics adequately.",neutral
"Overall, the restaurant left me feeling very satisfied.",positive
"In my opinion, the delivery was about what i expected, no surprises.",neutral
"Honestly, this laptop brought a smile to my face.",positive
"Overall, the concert broke down after just one use.",negative
"To be fair, the class felt cheap and poorly made.",negative
"Honestly, this course was a complete disappointment.",negative
"Frankly, the team did the job, though it could be improved.",neutral
This app broke down after just one use.,negative
"Honestly, the hotel room was neither great nor terrible.",neutral
"In my opinion, this album was smooth, fast, and reliable.",positive
The hotel room was buggy and kept crashing.,negative
"Honestly, the flight was handled with great care and professionalism.",positive
"Honestly, the product left me feeling very satisfied.",positive
The food was buggy and kept crashing.,negative
"Honestly, this course was absolutely fantastic.",positive
"Frankly, this recipe was thoughtfully designed and easy to use.",positive
"To be fair, the delivery left a really bad taste, literally and figuratively.",negative
"Honestly, this book was poorly organized and confusing.",negative
"To be fair, the new policy was okay, nothing special.",neutral
"Overall, the delivery was a routine, unremarkable experience.",neutral
"Honestly, the restaurant was overpriced for what you actually get.",negative
"Frankly, the event did not work as advertised at all.",negative
"To be fair, the software update was about what i expected, no surprises.",neutral
"Frankly, the software update impressed everyone in the room.",positive
"Honestly, the software update was buggy and kept crashing.",negative
"Frankly, the service was a wonderful experience overall.",positive
The customer support had some good points and some drawbacks.,neutral
"In my opinion, this app was honestly one of the worst i've experienced.",negative
"Honestly, the delivery did the job, though it could be improved.",neutral
"To be fair, the event left me feeling very satisfied.",positive
"Honestly, the website exceeded all my expectations.",positive
"To be fair, the tutorial left me feeling very satisfied.",positive
The presentation is a standard option without anything unique.,neutral
The flight was released on schedule as planned.,neutral
"Honestly, the manager is similar to what competitors offer.",neutral
"Frankly, the neighborhood was a wonderful experience overall.",positive
"The restaurant did the job, though it could be improved.",neutral
"To be fair, this game was delayed with zero communication.",negative
"Overall, the concert is fine for occasional use.",neutral
"Honestly, the delivery was neither great nor terrible.",neutral
"To be fair, this game was average compared to similar options.",neutral
The tutorial was released on schedule as planned.,neutral
"Frankly, the event felt cheap and poorly made.",negative
"To be fair, the concert left a really bad taste, literally and figuratively.",negative
"In my opinion, the hotel room did not work as advertised at all.",negative
"Frankly, the concert was honestly one of the worst i've experienced.",negative
"Honestly, this movie made the whole experience miserable.",negative
"To be fair, the restaurant left me frustrated and annoyed.",negative
"Honestly, the customer support left a really bad taste, literally and figuratively.",negative
"In my opinion, the tutorial was a wonderful experience overall.",positive
"Frankly, the team broke down after just one use.",negative
"To be fair, the new policy left me frustrated and annoyed.",negative
"Frankly, the delivery covers the basics adequately.",neutral
"Overall, the restaurant was okay, nothing special.",neutral
"Frankly, the meeting is fine for occasional use.",neutral
The software update was acceptable given the price.,neutral
"Frankly, the event was acceptable given the price.",neutral
"Honestly, the class was okay, nothing special.",neutral
"Overall, the event did the job, though it could be improved.",neutral
The restaurant was honestly one of the worst i've experienced.,negative
"In my opinion, the manager felt cheap and poorly made.",negative
"To be fair, this movie was a complete disappointment.",negative
The food impressed everyone in the room.,positive
"Overall, this course brought a smile to my face.",positive
"To be fair, the presentation was neither great nor terrible.",neutral
"Frankly, the manager was thoughtfully designed and easy to use.",positive
"Overall, the presentation will probably be updated again next quarter.",neutral
"In my opinion, this laptop was neither great nor terrible.",neutral
"Honestly, the new policy is similar to what competitors offer.",neutral
"Honestly, the restaurant was rude and unhelpful.",negative
"Overall, the team did not work as advertised at all.",negative
"To be fair, the service deserves five stars, no question.",positive
"Frankly, this laptop worked perfectly and saved me a lot of time.",positive
"Honestly, the team was thoughtfully designed and easy to use.",positive
"In my opinion, this course did the job, though it could be improved.",neutral
"Frankly, this app made the whole experience miserable.",negative
"In my opinion, the phone left me feeling very satisfied.",positive
The meeting will probably be updated again next quarter.,neutral
"Frankly, the phone left a really bad taste, literally and figuratively.",negative
"In my opinion, the presentation worked perfectly and saved me a lot of time.",positive
"Honestly, the concert is honestly one of the best i've come across.",positive
"Overall, the concert deserves five stars, no question.",positive
"Honestly, the restaurant was handled with great care and professionalism.",positive
"In my opinion, this movie was thoughtfully designed and easy to use.",positive
"To be fair, the product was a wonderful experience overall.",positive
"To be fair, the customer support was a wonderful experience overall.",positive
"Frankly, the concert turned out better than i imagined.",positive
"In my opinion, the hotel room was a complete disappointment.",negative
"Frankly, the customer support did the job, though it could be improved.",neutral
"In my opinion, this game did not work as advertised at all.",negative
"In my opinion, the neighborhood left me frustrated and annoyed.",negative
"Overall, the website brought a smile to my face.",positive
"In my opinion, the product was delayed with zero communication.",negative
"Frankly, this app exceeded all my expectations.",positive
"The new policy deserves five stars, no question.",positive
"Overall, the service broke down after just one use.",negative
"In my opinion, this album met the basic requirements but nothing more.",neutral
"Overall, the meeting felt cheap and poorly made.",negative
"Overall, the new policy is fine for occasional use.",neutral
"Honestly, this app was rude and unhelpful.",negative
"Overall, this movie was absolutely fantastic.",positive
"Frankly, the product brought a smile to my face.",positive
"To be fair, the flight was delayed with zero communication.",negative
"To be fair, this recipe was handled with great care and professionalism.",positive
"Honestly, the website did the job, though it could be improved.",neutral
"Frankly, this recipe was released on schedule as planned.",neutral
"In my opinion, this book is a standard option without anything unique.",neutral
This course had some good points and some drawbacks.,neutral
"Honestly, the new policy impressed everyone in the room.",positive
"Overall, the service was smooth, fast, and reliable.",positive
The phone covers the basics adequately.,neutral
"To be fair, the event made the whole experience miserable.",negative
"In my opinion, the event is fine for occasional use.",neutral
"To be fair, the concert was average compared to similar options.",neutral
"To be fair, the neighborhood left me feeling very satisfied.",positive
"Honestly, this app was average compared to similar options.",neutral
"Overall, this book exceeded all my expectations.",positive
The tutorial was neither great nor terrible.,neutral
"In my opinion, this game impressed everyone in the room.",positive
"Honestly, the product made the whole experience miserable.",negative
"To be fair, this movie was a wonderful experience overall.",positive
This movie was overpriced for what you actually get.,negative
"Honestly, the service was neither great nor terrible.",neutral
This album is similar to what competitors offer.,neutral
"Overall, the phone was a routine, unremarkable experience.",neutral
The delivery is a standard option without anything unique.,neutral
"In my opinion, the team was okay, nothing special.",neutral
"Honestly, the service is fine for occasional use.",neutral
"Frankly, the concert was buggy and kept crashing.",negative
The restaurant covers the basics adequately.,neutral
"To be fair, the customer support did not work as advertised at all.",negative
"In my opinion, the hotel room was acceptable given the price.",neutral
"In my opinion, this app deserves five stars, no question.",positive
"Overall, the event was poorly organized and confusing.",negative
This laptop was a complete disappointment.,negative
"Overall, this game was handled with great care and professionalism.",positive
"Frankly, the concert was a complete disappointment.",negative
"Frankly, the food made the whole experience miserable.",negative
"Honestly, this movie was honestly one of the worst i've experienced.",negative
"Overall, this recipe deserves five stars, no question.",positive
"Overall, the meeting made me really happy.",positive
"Frankly, the service was handled with great care and professionalism.",positive
"To be fair, the car will probably be updated again next quarter.",neutral
"Honestly, the flight was a total waste of time and money.",negative
"Overall, the presentation met the basic requirements but nothing more.",neutral
"Honestly, this recipe is similar to what competitors offer.",neutral
This course is honestly one of the best i've come across.,positive
"To be fair, the neighborhood was rude and unhelpful.",negative
"Honestly, this book had some good points and some drawbacks.",neutral
"Honestly, the manager was rude and unhelpful.",negative
"In my opinion, this album turned out better than i imagined.",positive
"Overall, the food did not work as advertised at all.",negative
This app was overpriced for what you actually get.,negative
"In my opinion, this book did the job, though it could be improved.",neutral
"To be fair, this course felt cheap and poorly made.",negative
"In my opinion, this recipe was delayed with zero communication.",negative
"To be fair, this game was okay, nothing special.",neutral
"In my opinion, the flight was average compared to similar options.",neutral
"Honestly, this course deserves five stars, no question.",positive
"In my opinion, the phone was well worth the money.",positive
"In my opinion, this course is a standard option without anything unique.",neutral
"In my opinion, the hotel room left a really bad taste, literally and figuratively.",negative
"To be fair, the event worked perfectly and saved me a lot of time.",positive
"Overall, the car made the whole experience miserable.",negative
"Overall, the event covers the basics adequately.",neutral
"In my opinion, this app is fine for occasional use.",neutral
"In my opinion, this course was buggy and kept crashing.",negative
"Overall, the event had some good points and some drawbacks.",neutral
"To be fair, this book was a total waste of time and money.",negative
"Overall, the food exceeded all my expectations.",positive
"Frankly, the restaurant was smooth, fast, and reliable.",positive
"Frankly, the class was absolutely fantastic.",positive
The product felt cheap and poorly made.,negative
"Honestly, the product covers the basics adequately.",neutral
"In my opinion, the product was handled with great care and professionalism.",positive
"To be fair, the class broke down after just one use.",negative
"Honestly, the neighborhood met the basic requirements but nothing more.",neutral
"In my opinion, this recipe exceeded all my expectations.",positive
"Honestly, the customer support is a standard option without anything unique.",neutral
"Honestly, the delivery left me frustrated and annoyed.",negative
This book was a wonderful experience overall.,positive
"Overall, the car was about what i expected, no surprises.",neutral
"Overall, this laptop was way below my expectations.",negative
"To be fair, the restaurant deserves five stars, no question.",positive
"To be fair, the customer support was overpriced for what you actually get.",negative
The meeting was neither great nor terrible.,neutral
The new policy was handled with great care and professionalism.,positive
"To be fair, this game met the basic requirements but nothing more.",neutral
The software update is fine for occasional use.,neutral
This movie made me really happy.,positive
"In my opinion, the class made the whole experience miserable.",negative
"Honestly, the customer support will probably be updated again next quarter.",neutral
"Frankly, the event deserves five stars, no question.",positive
"Frankly, the class met the basic requirements but nothing more.",neutral
"Overall, the car was handled with great care and professionalism.",positive
"Frankly, this course is similar to what competitors offer.",neutral
"Overall, this album had some good points and some drawbacks.",neutral
"Frankly, this book was thoughtfully designed and easy to use.",positive
"Overall, this album was average compared to similar options.",neutral
"In my opinion, the service was acceptable given the price.",neutral
"In my opinion, the meeting was a routine, unremarkable experience.",neutral
"Frankly, the food was thoughtfully designed and easy to use.",positive
"Frankly, the concert is similar to what competitors offer.",neutral
"Overall, the event made me really happy.",positive
"Frankly, the service made the whole experience miserable.",negative
"In my opinion, the car was a wonderful experience overall.",positive
"Frankly, the tutorial felt cheap and poorly made.",negative
"To be fair, this movie had some good points and some drawbacks.",neutral
"Overall, the concert was a routine, unremarkable experience.",neutral
"In my opinion, the food broke down after just one use.",negative
"Overall, the tutorial was about what i expected, no surprises.",neutral
"Overall, the hotel room was released on schedule as planned.",neutral
"In my opinion, the event met the basic requirements but nothing more.",neutral
"To be fair, the software update broke down after just one use.",negative
"In my opinion, the restaurant was about what i expected, no surprises.",neutral
"In my opinion, the car worked perfectly and saved me a lot of time.",positive
"Overall, the presentation made the whole experience miserable.",negative
"Frankly, the manager is fine for occasional use.",neutral
"To be fair, this course broke down after just one use.",negative
"To be fair, the team made me really happy.",positive
"Overall, the tutorial exceeded all my expectations.",positive
"Honestly, the team was well worth the money.",positive
"Honestly, the phone had some good points and some drawbacks.",neutral
The website is fine for occasional use.,neutral
"Honestly, this album worked perfectly and saved me a lot of time.",positive
"Honestly, this movie broke down after just one use.",negative
"In my opinion, the restaurant is a standard option without anything unique.",neutral
"Overall, the class will probably be updated again next quarter.",neutral
"Honestly, this book is fine for occasional use.",neutral
The neighborhood is honestly one of the best i've come across.,positive
"Overall, the hotel room is honestly one of the best i've come across.",positive
The delivery impressed everyone in the room.,positive
"Frankly, the concert was neither great nor terrible.",neutral
"To be fair, this game was thoughtfully designed and easy to use.",positive
"Frankly, the neighborhood was smooth, fast, and reliable.",positive
The class made me really happy.,positive
"Honestly, the customer support was delayed with zero communication.",negative
The software update left me frustrated and annoyed.,negative
"Honestly, this app left a really bad taste, literally and figuratively.",negative
"Frankly, the website was absolutely fantastic.",positive
"Honestly, this app was okay, nothing special.",neutral
This recipe was honestly one of the worst i've experienced.,negative
"Frankly, the presentation was okay, nothing special.",neutral
"Frankly, the flight impressed everyone in the room.",positive
"Overall, the flight was smooth, fast, and reliable.",positive
"Overall, the neighborhood turned out better than i imagined.",positive
"Overall, the meeting is honestly one of the best i've come across.",positive
"To be fair, this course was well worth the money.",positive
"In my opinion, the phone was honestly one of the worst i've experienced.",negative
The tutorial was overpriced for what you actually get.,negative
"Overall, the meeting did not work as advertised at all.",negative
"Frankly, this movie was rude and unhelpful.",negative
"Frankly, the customer support was well worth the money.",positive
"Honestly, this album is honestly one of the best i've come across.",positive
"Frankly, the neighborhood was poorly organized and confusing.",negative
"Honestly, this app impressed everyone in the room.",positive
"Frankly, the restaurant was delayed with zero communication.",negative
The customer support turned out better than i imagined.,positive
"Honestly, the concert is a standard option without anything unique.",neutral
The product turned out better than i imagined.,positive
"To be fair, the hotel room was overpriced for what you actually get.",negative
"Honestly, the flight will probably be updated again next quarter.",neutral
"Frankly, the service met the basic requirements but nothing more.",neutral
"To be fair, this movie was buggy and kept crashing.",negative
"In my opinion, the event was absolutely fantastic.",positive
"In my opinion, the service was well worth the money.",positive
The presentation was a wonderful experience overall.,positive
"In my opinion, the service was delayed with zero communication.",negative
"In my opinion, the hotel room did the job, though it could be improved.",neutral
"In my opinion, the manager brought a smile to my face.",positive
"In my opinion, the software update was absolutely fantastic.",positive
"Frankly, this course did not work as advertised at all.",negative
"Overall, the class brought a smile to my face.",positive
"In my opinion, the new policy felt cheap and poorly made.",negative
"Honestly, the delivery was delayed with zero communication.",negative
"To be fair, the event is a standard option without anything unique.",neutral
The flight was a wonderful experience overall.,positive
"Overall, the concert covers the basics adequately.",neutral
"Overall, the presentation left a really bad taste, literally and figuratively.",negative
"To be fair, the restaurant turned out better than i imagined.",positive
"Frankly, the event was smooth, fast, and reliable.",positive
"Overall, the food turned out better than i imagined.",positive
"Frankly, the car was released on schedule as planned.",neutral
"Frankly, the restaurant was well worth the money.",positive
"In my opinion, the concert was a wonderful experience overall.",positive
"In my opinion, the flight worked perfectly and saved me a lot of time.",positive
"To be fair, the tutorial turned out better than i imagined.",positive
"To be fair, the tutorial was way below my expectations.",negative
"In my opinion, this book was well worth the money.",positive
This movie will probably be updated again next quarter.,neutral
"In my opinion, the delivery is honestly one of the best i've come across.",positive
"In my opinion, this recipe will probably be updated again next quarter.",neutral
"Frankly, the website was a complete disappointment.",negative
"Frankly, this recipe turned out better than i imagined.",positive
"Overall, the car was rude and unhelpful.",negative
"Honestly, the service did the job, though it could be improved.",neutral
"To be fair, this game was absolutely fantastic.",positive
"This course was smooth, fast, and reliable.",positive
"Overall, the phone left me frustrated and annoyed.",negative
"Honestly, the manager was neither great nor terrible.",neutral
"Honestly, the presentation was rude and unhelpful.",negative
"Overall, the presentation is similar to what competitors offer.",neutral
"Overall, the hotel room was a routine, unremarkable experience.",neutral
"Overall, the service was okay, nothing special.",neutral
"The manager deserves five stars, no question.",positive
"In my opinion, this laptop was released on schedule as planned.",neutral
"Frankly, the meeting was absolutely fantastic.",positive
"Frankly, the product was buggy and kept crashing.",negative
"Overall, the tutorial met the basic requirements but nothing more.",neutral
"Honestly, the hotel room was okay, nothing special.",neutral
"Overall, the customer support was a complete disappointment.",negative
"To be fair, this book left me feeling very satisfied.",positive
"Overall, the phone was way below my expectations.",negative
"Frankly, the presentation did not work as advertised at all.",negative
"Honestly, the class was acceptable given the price.",neutral
"To be fair, the website deserves five stars, no question.",positive
"Frankly, this laptop was handled with great care and professionalism.",positive
"To be fair, the meeting was smooth, fast, and reliable.",positive
"To be fair, the flight was poorly organized and confusing.",negative
The class was buggy and kept crashing.,negative
"Frankly, the website will probably be updated again next quarter.",neutral
"In my opinion, the product is fine for occasional use.",neutral
"The flight was about what i expected, no surprises.",neutral
The manager covers the basics adequately.,neutral
"Frankly, the flight was a complete disappointment.",negative
"Overall, the restaurant had some good points and some drawbacks.",neutral
"Honestly, this album was handled with great care and professionalism.",positive
"Overall, the neighborhood deserves five stars, no question.",positive
"The product did the job, though it could be improved.",neutral
"To be fair, the manager left me feeling very satisfied.",positive
"Honestly, the food brought a smile to my face.",positive
"Honestly, the product met the basic requirements but nothing more.",neutral
"In my opinion, the food was honestly one of the worst i've experienced.",negative
"Frankly, the new policy was a complete disappointment.",negative
"Honestly, the event was a total waste of time and money.",negative
"To be fair, the software update was thoughtfully designed and easy to use.",positive
"Frankly, the neighborhood made me really happy.",positive
"Honestly, the website turned out better than i imagined.",positive
"Frankly, the website felt cheap and poorly made.",negative
"To be fair, the software update was released on schedule as planned.",neutral
"Overall, this laptop was overpriced for what you actually get.",negative
"Honestly, the car impressed everyone in the room.",positive
"The delivery was smooth, fast, and reliable.",positive
"Honestly, the tutorial was delayed with zero communication.",negative
"Honestly, the team will probably be updated again next quarter.",neutral
"Honestly, the food did the job, though it could be improved.",neutral
"Overall, the software update met the basic requirements but nothing more.",neutral
The delivery left me feeling very satisfied.,positive
"Overall, the customer support was a routine, unremarkable experience.",neutral
"Overall, the manager was overpriced for what you actually get.",negative
This book broke down after just one use.,negative
"To be fair, the manager made me really happy.",positive
"Frankly, the car did not work as advertised at all.",negative
"Frankly, this book turned out better than i imagined.",positive
"Frankly, the phone was okay, nothing special.",neutral
"In my opinion, the neighborhood will probably be updated again next quarter.",neutral
"In my opinion, the manager had some good points and some drawbacks.",neutral
The presentation made me really happy.,positive
"Overall, the class was poorly organized and confusing.",negative
"Frankly, the car deserves five stars, no question.",positive
"Frankly, this movie is a standard option without anything unique.",neutral
"Overall, the customer support worked perfectly and saved me a lot of time.",positive
"To be fair, this course was neither great nor terrible.",neutral
The team is fine for occasional use.,neutral
"Honestly, this course was handled with great care and professionalism.",positive
"To be fair, this course turned out better than i imagined.",positive
This laptop felt cheap and poorly made.,negative
The tutorial is a standard option without anything unique.,neutral
"Honestly, the restaurant was neither great nor terrible.",neutral
"To be fair, the website was okay, nothing special.",neutral
"In my opinion, the software update was a wonderful experience overall.",positive
"Overall, the team worked perfectly and saved me a lot of time.",positive
"Frankly, the neighborhood felt cheap and poorly made.",negative
"In my opinion, the presentation was poorly organized and confusing.",negative
"Frankly, the team was smooth, fast, and reliable.",positive
This book was delayed with zero communication.,negative
"Honestly, the class was neither great nor terrible.",neutral
